MAPNAME,LATITUDE,LONGITUD,ICLEVEL,CONTROL,Degree-seeking Undergraduates,Graduate Students,Tuition & Fees
Bethune-Cookman University,29.207195,-81.032946,1,2,2913,127,14794
Lynn University,26.385985,-80.122806,1,2,2635,1004,40900
North Florida Technical College,29.952308,-82.117224,3,1,205,,6904
Albizu University-Miami,25.794178,-80.356315,1,2,253,858,12444
Johnson University Florida,28.302547,-81.363053,1,2,187,,18614
Charlotte Technical College,27.005558,-82.147238,3,1,324,,3100
Chipola College,30.789228,-85.23139,1,1,1753,,3120
Lorenzo Walker Technical College,26.141141,-81.763568,3,1,1055,,5238
South University-West Palm Beach,26.69215,-80.200219,1,3,699,209,18000
Eckerd College,27.715798,-82.687043,1,2,1935,,47704
Florida SouthWestern State College,26.552403,-81.887102,1,1,15529,,3401
Edward Waters University,30.34479,-81.684879,1,2,1013,,15098
Embry-Riddle Aeronautical University-Daytona Beach,29.189903,-81.048367,1,2,6790,717,39066
Florida Agricultural and Mechanical University,30.428504,-84.290226,1,1,7853,1966,5785
Flagler College,29.892733,-81.314887,1,2,2895,23,21140
Florida College,28.034936,-82.383289,1,2,507,,18060
Concorde Career Institute-Jacksonville,30.23886,-81.581748,2,3,840,,50958
Concorde Career Institute-Miramar,25.977088,-80.291516,2,3,652,,43472
Concorde Career Institute-Tampa,27.959148,-82.514341,2,3,694,,17098
AdventHealth University,28.576142,-81.367687,1,2,1457,701,20340
Florida Institute of Technology,28.065815,-80.622893,1,2,3428,4896,43246
The College of the Florida Keys,24.582748,-81.74446,1,1,1216,,3276
Florida Memorial University,25.918278,-80.270753,1,2,1033,53,16836
Florida Career College-Miami,25.756567,-80.36778,2,3,764,,21500
Florida Southern College,28.032443,-81.948203,1,2,2983,742,38980
Florida State University,30.440756,-84.291921,1,1,35822,12945,6517
University of Florida,29.64629,-82.347911,1,1,36652,21664,6381
Full Sail University,28.596546,-81.301286,1,3,32835,2287,25687
George Stone Technical College,30.487547,-87.290659,2,1,843,,3096
George T Baker Aviation Technical College,25.804092,-80.263591,3,1,1021,,4050
Hobe Sound Bible College,27.066304,-80.13184,1,2,179,15,7698
Hollywood Institute of Beauty Careers,26.007139,-80.209125,3,3,613,,10296
Cortiva Institute,27.793547,-82.680031,3,3,277,,10821
International Academy,29.162159,-80.997811,3,3,278,,10500
AI Miami International University of Art and Design,25.790008,-80.18839,1,3,1165,78,19354
Jacksonville University,30.353227,-81.60458,1,2,3202,1669,42400
Keiser University-Ft Lauderdale,26.185869,-80.163959,1,2,29065,3129,22000
La Belle Beauty School,25.86695,-80.312711,3,3,362,,16205
Florida Gateway College,30.175298,-82.5679,1,1,3136,,3100
Lake Technical College,28.833446,-81.690874,3,1,1048,,3436
Lake-Sumter State College,28.828649,-81.797193,1,1,4513,,3292
Fort Myers Technical College,26.647517,-81.836596,2,1,1047,,2816
Lively Technical College,30.448534,-84.339057,3,1,1332,,3640
Lindsey Hopkins Technical College,25.794676,-80.208154,2,1,1663,,4278
Loraines Academy & Spa,27.783077,-82.713964,3,3,174,,12495
Luther Rice College & Seminary,33.698126,-84.123179,1,2,306,657,9088
Manatee Technical College,27.447894,-82.481088,2,1,1475,,4226
Traviss Technical College,27.995822,-81.892381,3,1,561,,3251
Merryfield School of Pet Grooming,26.19044,-80.129991,3,3,156,,10800
Trinity International University-Florida,25.68307,-80.417646,1,2,115,89,14020
Miami Lakes Educational Center and Technical College,25.916128,-80.29513,2,1,1568,,2480
Miami Dade College,25.777717,-80.190856,1,1,63933,,2838
University of Miami,25.72126,-80.278662,1,2,12158,7852,54760
Orange Technical College-Mid Florida Campus,28.471695,-81.415996,2,1,1829,,3658
Paul Mitchell the School-Jacksonville,30.259433,-81.527515,3,3,242,,17550
North Florida College,30.473841,-83.420732,1,1,1218,,2994
University of North Florida,30.27194,-81.509144,1,1,16517,2970,5964
Northwest Florida State College,30.540017,-86.47456,1,1,4822,,3133
Orange Technical College-Orlando Campus,28.550422,-81.383783,3,1,255,,4488
Palm Beach Atlantic University,26.7044,-80.05247,1,2,2540,957,34134
Pinellas Technical College-Clearwater,27.911922,-82.719064,3,1,1098,,5041
Radford M Locklin Technical College,30.648077,-87.09971,2,1,286,,4109
Ridge Technical College,28.076632,-81.654463,3,1,570,,3918
Ringling College of Art and Design,27.360931,-82.547803,1,2,1639,,51170
Robert Morgan Educational Center and Technical College,25.599247,-80.390054,2,1,801,,5391
Rollins College,28.592787,-81.349239,1,2,2691,580,54740
First Coast Technical College,29.924377,-81.345829,3,1,611,,6581
Saint Leo University,28.336776,-82.257801,1,2,10581,4315,26050
Pinellas Technical College-St. Petersburg,27.761183,-82.681534,2,1,1927,,3942
Santa Fe College,29.681037,-82.433143,1,1,15150,,2563
Suncoast Technical College,27.285486,-82.500827,2,1,1592,,6287
Sheridan Technical College,26.031736,-80.198024,2,1,2193,,8155
St. John Vianney College Seminary,25.742579,-80.337411,1,2,59,22,23100
Saint Johns River State College,29.647516,-81.681387,1,1,5571,,2830
South Florida State College,27.56974,-81.508667,1,1,2861,,3165
St. Thomas University,25.922071,-80.253273,1,2,1905,2669,32940
Stetson University,29.035475,-81.300746,1,2,3236,1460,50800
Southeastern University,28.029733,-81.918382,1,2,6227,1607,28320
Bene's Career Academy,28.259612,-82.728584,3,3,471,,16950
Riveroak Technical College,30.281999,-82.992512,2,1,247,,3379
Talmudic College of Florida,25.811996,-80.136293,1,2,29,3,15250
Altierus Career College-Tampa,27.996582,-82.497616,2,2,727,,14775
The University of Tampa,27.948455,-82.46483,1,2,9497,1214,31274
Big Bend Technical College,30.077954,-83.565783,3,1,220,,4652
Tom P. Haney Technical College,30.203363,-85.646585,3,1,381,,4280
Trinity Baptist College,30.311171,-81.79626,1,2,386,26,13180
Trinity College of Florida,28.194732,-82.678318,1,2,236,,16300
Warner University,27.825751,-81.599972,1,2,886,185,25050
Florida Panhandle Technical College,30.77449,-85.553345,3,1,439,,3890
Webber International University,27.838778,-81.532315,1,2,1022,83,29184
Rasmussen University-Florida,29.140099,-82.197343,1,3,15229,98,13635
The University of West Florida,30.549076,-87.218511,1,1,11025,4714,5776
Orange Technical College-Westside Campus,28.559574,-81.571532,2,1,776,,3653
William T McFatter Technical College,26.085022,-80.232201,2,1,1080,,4556
Orange Technical College-Winter Park Campus,28.604386,-81.36174,2,1,566,,4799
Withlacoochee Technical College,28.834861,-82.345563,2,1,453,,2188
Abraham Baldwin Agricultural College,31.481889,-83.528281,1,1,4138,,3565
Agnes Scott College,33.769268,-84.295459,1,2,996,99,44250
Interactive College of Technology-Chamblee,33.886966,-84.304381,2,3,1028,,10650
Interactive College of Technology-Morrow,33.57233,-84.336098,2,3,110,,10250
Albany Technical College,31.55434,-84.174284,2,1,3530,,2996
Albany State University,31.56928,-84.141825,1,1,6815,526,5934
Andrew College,31.772321,-84.795021,1,2,327,,18214
The Art Institute of Atlanta,33.936024,-84.355252,1,3,1268,,19354
Georgia Career Institute,33.64336,-84.018321,3,3,969,,15400
Atlanta Technical College,33.712009,-84.404995,2,1,4672,,3164
Point University,32.87912,-85.184931,1,2,1147,47,21850
Atlanta Metropolitan State College,33.70893,-84.404659,1,1,2299,,3505
Atlanta School of Massage,33.922131,-84.311332,3,3,403,,13748
Clark Atlanta University,33.747628,-84.412584,1,2,3360,736,24012
Augusta Technical College,33.418992,-82.048439,2,1,5017,,3232
Berry College,34.290414,-85.189202,1,2,2068,216,38656
Beulah Heights University,33.736993,-84.35768,1,2,226,308,8492
Brenau University,34.303117,-83.821513,1,2,1902,1425,32530
Brewton-Parker College,32.185718,-82.586136,1,2,609,,19220
College of Coastal Georgia,31.182745,-81.485973,1,1,3604,,3933
Clayton State University,33.594079,-84.328174,1,1,6578,875,5568
Columbus Technical College,32.508076,-84.978551,2,1,3930,,3042
Covenant College,34.965161,-85.375066,1,2,871,49,37770
Dalton State College,34.774221,-85.002775,1,1,4956,,3683
Pro Way Hair School,33.801802,-84.205183,3,3,129,,19860
South University-Savannah,31.999571,-81.105435,1,3,436,889,18000
East Georgia State College,32.594944,-82.309021,1,1,2532,,3136
Emmanuel College,34.283641,-83.14822,1,2,828,,21636
Emory University,33.790183,-84.325512,1,2,7345,7680,55468
Fort Valley State University,32.537595,-83.89537,1,1,2815,340,5832
Georgia Institute of Technology-Main Campus,33.77242,-84.394832,1,1,17037,29799,12852
Georgia Southwestern State University,32.054662,-84.217738,1,1,2548,858,5464
Georgia College & State University,33.082787,-83.231962,1,1,6046,1714,9524
Georgia Southern University,32.426153,-81.784045,1,1,25037,4320,6485
Georgia State University,33.7527,-84.38667,1,1,32431,9117,9286
Gordon State College,33.04571,-84.154508,1,1,3285,,3789
Gupton Jones College of Funeral Service,33.710709,-84.179775,2,2,645,,12740
Gwinnett College-Lilburn,33.901271,-84.121874,2,3,367,,9925
LaGrange College,33.038564,-85.043113,1,2,790,190,32840
Lanier Technical College,34.330323,-83.778107,2,1,5188,,3666
Life University,33.932781,-84.514729,1,2,1236,2111,13911
Herzing University-Atlanta,33.754218,-84.387251,1,2,1124,75,14200
Morehouse College,33.745982,-84.414917,1,2,2294,,29468
North Georgia Technical College,34.639721,-83.530118,2,1,2780,,3022
Oglethorpe University,33.875441,-84.333687,1,2,1489,,42754
Paine College,33.469545,-81.993225,1,2,217,,14596
Piedmont University,34.566042,-83.542126,1,2,1401,1582,28340
Reinhardt University,34.319756,-84.554264,1,2,1349,129,26180
Savannah Technical College,32.023211,-81.114753,2,1,5000,,3042
Savannah College of Art and Design,32.072964,-81.09395,1,2,13116,3153,38840
Savannah State University,32.024781,-81.063377,1,1,3528,273,5902
Shorter University,34.257543,-85.196529,1,2,1309,172,22810
South Georgia Technical College,32.116663,-84.188321,2,1,2138,,3692
The Creative Circus,33.813156,-84.361989,2,3,215,,46112
Spelman College,33.745279,-84.411527,1,2,2285,,28181
Thomas University,30.815576,-83.963587,1,2,1038,709,11080
Toccoa Falls College,34.593414,-83.357617,1,2,919,24,21490
Truett McConnell University,34.596306,-83.748911,1,2,888,109,22852
Wiregrass Georgia Technical College,30.889221,-83.35381,2,1,3617,,3152
Valdosta State University,30.847402,-83.289282,1,1,10633,3559,6583
Wesleyan College,32.876037,-83.715417,1,2,684,58,26390
University of West Georgia,33.573621,-85.097762,1,1,10655,4102,6521
Young Harris College,34.933523,-83.84587,1,2,969,38,29962
Chaminade University of Honolulu,21.28995,-157.807851,1,2,1790,791,27454
University of Hawaii at Hilo,19.701189,-155.080847,1,1,2945,561,7838
University of Hawaii at Manoa,21.298598,-157.818979,1,1,13905,5466,12186
Hawaii Institute of Hair Design,21.31146,-157.861609,3,3,127,,13237
Honolulu Community College,21.321785,-157.87,2,1,2730,,3174
Kapiolani Community College,21.27148,-157.800213,2,1,5756,,3284
Kauai Community College,21.968887,-159.395883,2,1,1106,,3252
Leeward Community College,21.39267,-157.983771,2,1,5449,,3209
University of Hawaii Maui College,20.88956,-156.477252,1,1,2535,,3278
University of Hawaii-West Oahu,21.35531,-158.056403,1,1,3190,,7584
Windward Community College,21.407051,-157.813307,2,1,1404,,3194
Carrington College-Boise,43.615295,-116.260675,2,3,798,,25138
Boise Bible College,43.658651,-116.291321,1,2,102,,13100
Boise State University,43.604284,-116.203301,1,1,19376,5862,8060
College of Eastern Idaho,43.486041,-111.985519,2,1,1801,,4126
Idaho State University,42.863832,-112.432312,1,1,8007,2578,7872
University of Idaho,46.727406,-117.014167,1,1,7401,2893,8340
The College of Idaho,43.652284,-116.677992,1,2,1142,34,33755
Lewis-Clark State College,46.412199,-117.024875,1,1,3110,,6982
Aveda Institute-Twin Falls,42.593567,-114.461545,3,3,128,,17228
North Idaho College,47.67569,-116.798905,2,1,4030,,4960
Northwest Nazarene University,43.562411,-116.565783,1,2,1299,859,34390
Brigham Young University-Idaho,43.818408,-111.782431,1,2,59106,,4416
College of Southern Idaho,42.579837,-114.473901,1,1,4414,,4560
American Academy of Art College,41.87742,-87.624788,1,3,172,,36482
American Islamic College,41.954969,-87.646898,1,2,7,14,7650
School of the Art Institute of Chicago,41.88105,-87.625758,1,2,2796,716,50623
Augustana College,41.502365,-90.55057,1,2,2429,21,46189
Blackburn College,39.287896,-89.870241,1,2,500,,25570
Blessing Rieman College of Nursing and Health Sciences,39.949641,-91.357497,1,2,266,21,27830
Bradley University,40.696896,-89.616786,1,2,4763,1625,36360
Paul Mitchell the School-Bradley,41.172891,-87.847099,3,3,325,,22225
Cameo Beauty Academy,41.716051,-87.740894,3,3,143,,17985
Carl Sandburg College,40.98128,-90.408203,2,1,1507,,7860
Chicago State University,41.718446,-87.609384,1,1,2059,1185,11204
University of Chicago,41.787994,-87.599539,1,2,7076,11605,60963
City Colleges of Chicago-Kennedy-King College,41.780253,-87.643425,2,1,1564,,11520
City Colleges of Chicago-Malcolm X College,41.878092,-87.675321,2,1,7106,,11520
City Colleges of Chicago-Olive-Harvey College,41.709997,-87.589249,2,1,1478,,11520
City Colleges of Chicago-Harry S Truman College,41.964502,-87.659107,2,1,2967,,11520
City Colleges of Chicago-Richard J Daley College,41.755955,-87.723981,2,1,3457,,11520
City Colleges of Chicago-Harold Washington College,41.886067,-87.626596,2,1,6551,,11520
City Colleges of Chicago-Wilbur Wright College,41.958774,-87.787868,2,1,6216,,11520
Columbia College Chicago,41.874261,-87.624667,1,2,6952,249,27786
Concordia University-Chicago,41.898696,-87.809482,1,2,1601,6521,34310
Coyne College,41.882558,-87.627413,2,3,570,,16641
Danville Area Community College,40.127539,-87.587884,2,1,2041,,8650
Tricoci University of Beauty Culture,40.117724,-88.205972,3,3,210,,17800
Cosmetology & Spa Academy,42.24918,-88.294087,3,3,574,,22000
College of DuPage,41.841577,-88.071635,2,1,21431,,9750
East-West University,41.871309,-87.624793,1,2,560,,22950
Elgin Community College,42.018066,-88.32194,2,1,8996,,7140
Elmhurst University,41.897164,-87.945369,1,2,2898,679,39400
Eureka College,40.71482,-89.269624,1,2,539,,28360
"First Institute of Travel, Inc.",42.21926,-88.339468,3,3,410,,16375
Fox College,41.563842,-87.785169,2,3,664,,15440
Governors State University,41.449103,-87.716441,1,1,3555,2037,10108
G Skin & Beauty Institute,42.061983,-88.083218,3,3,856,,13900
Hair Professionals School of Cosmetology,41.682591,-88.364727,3,3,179,,20162
Hebrew Theological College,42.010103,-87.760874,1,2,139,,13760
Highland Community College,42.283344,-89.67342,2,1,1360,,6846
University of Illinois Chicago,41.871837,-87.650503,1,1,22914,13067,15603
University of Illinois Urbana-Champaign,40.104718,-88.229114,1,1,33821,23759,17634
Illinois Wesleyan University,40.489901,-88.992014,1,2,1654,,52512
Illinois Central College,40.707235,-89.52485,2,1,6829,,9236
Illinois College,39.7313,-90.246171,1,2,1218,,35302
Illinois Institute of Technology,41.8313,-87.627321,1,2,3111,3885,50375
Illinois State University,40.509403,-88.990058,1,1,19311,3198,13968
Illinois Valley Community College,41.30744,-89.100887,2,1,2514,,12952
John A Logan College,37.747453,-89.09021,2,1,3125,,5960
John Wood Community College,39.913741,-91.335828,2,1,1923,,8190
Judson University,42.061754,-88.291336,1,2,1075,297,29870
Kankakee Community College,41.098178,-87.851047,2,1,2191,,13200
Kaskaskia College,38.562112,-89.191974,2,1,2338,,7530
Kishwaukee College,41.938234,-88.880524,2,1,2418,,9390
Knox College,40.943064,-90.373165,1,2,1173,,51576
Lake Forest College,42.249574,-87.827454,1,2,1688,46,51002
Lakeview College of Nursing,40.13855,-87.644379,1,2,193,,18550
Lincoln Christian University,40.148924,-89.346721,1,2,317,326,14520
Lincoln College,40.155442,-89.36153,1,2,1025,33,19800
Lincoln College of Technology-Melrose Park,41.905577,-87.832162,2,3,1486,,39237
Loyola University Chicago,42.000765,-87.656872,1,2,12208,5964,47808
Trinity College of Nursing & Health Sciences,41.484924,-90.568862,1,2,220,32,28244
MacCormac College,41.881773,-87.626675,2,2,421,,12700
McHenry County College,42.259111,-88.368956,2,1,6177,,11608
Methodist College,40.7804,-89.682864,1,2,831,45,18008
Millikin University,39.842612,-88.976298,1,2,1929,130,39592
Monmouth College,40.914824,-90.63731,1,2,877,,41390
Moody Bible Institute,41.897822,-87.633459,1,2,2373,926,14335
Moraine Valley Community College,41.694613,-87.836915,2,1,10761,,8118
Morton College,41.824303,-87.762306,2,1,3765,,9476
National Louis University,41.880093,-87.624699,1,2,4328,5531,14169
North Central College,41.77576,-88.14279,1,2,2583,409,42206
North Park University,41.975268,-87.709948,1,2,1946,1167,33050
Northern Illinois University,41.933869,-88.766428,1,1,13239,5349,14738
Northeastern Illinois University,41.980399,-87.718983,1,1,6118,2489,12064
Olivet Nazarene University,41.155237,-87.875165,1,2,3023,1291,37440
Prairie State College,41.525316,-87.638943,2,1,4094,,9342
Principia College,38.948835,-90.350285,1,2,352,,30820
Quincy University,39.938898,-91.385975,1,2,1022,308,31160
Richland Community College,39.883887,-88.894125,2,1,2152,,9090
Rockford University,42.270639,-89.019536,1,2,1140,363,34000
Roosevelt University,41.876055,-87.624952,1,2,3251,1968,31493
Dominican University,41.902678,-87.823003,1,2,2290,1392,35420
Rush University,41.874742,-87.668581,1,2,115,3231,29828
Saint Francis Medical Center College of Nursing,40.701241,-89.590322,1,2,327,199,22369
St. John's College-Department of Nursing,39.807602,-89.64532,1,2,110,11,25287
Saint Xavier University,41.707199,-87.714749,1,2,3362,951,35060
University of Illinois Springfield,39.729524,-89.616796,1,1,2952,1914,12053
Sauk Valley Community College,41.817659,-89.596483,2,1,1339,,11580
Shawnee Community College,37.270198,-89.03352,2,1,1110,,6090
St. Augustine College,41.972414,-87.662806,1,2,1073,,12120
Southeastern Illinois College,37.75174,-88.436631,2,1,831,,6120
Spoon River College,40.527991,-90.07233,2,1,1144,,10830
Saint Anthony College of Nursing,42.310147,-88.991968,1,2,251,99,27611
Southern Illinois University-Carbondale,37.714193,-89.217273,1,1,9103,3479,15240
Southern Illinois University-Edwardsville,38.793949,-89.997779,1,1,11138,3679,11496
Taylor Business Institute,41.885452,-87.62671,2,3,201,,10650
Telshe Yeshiva-Chicago,41.975536,-87.71755,1,2,97,12,16000
Trinity Christian College,41.667687,-87.783973,1,2,1026,89,33275
Trinity International University-Illinois,42.197945,-87.880851,1,2,576,1099,33298
University of Spa & Cosmetology Arts,39.76672,-89.710839,3,3,238,,17100
Oak Point University,41.848066,-87.930551,1,2,877,99,25469
Western Illinois University,40.468086,-90.686899,1,1,6540,2156,13297
Wheaton College,41.870176,-88.099643,1,2,2324,803,40820
Anderson University,40.112768,-85.664315,1,2,1506,307,32950
Ball State University,40.203431,-85.409043,1,1,15730,7464,10290
Bethel University,41.678399,-86.194686,1,2,1206,241,30830
Butler University,39.8374,-86.172167,1,2,4669,1376,43400
Calumet College of Saint Joseph,41.671008,-87.494123,1,2,648,178,20870
Tricoci University of Beauty Culture-Highland,41.555885,-87.467018,3,3,490,,19982
DePauw University,39.640904,-86.860363,1,2,1787,,53896
Earlham College,39.823431,-84.915037,1,2,759,109,49053
University of Evansville,37.971549,-87.531644,1,2,1810,365,39806
Franklin College,39.478298,-86.047182,1,2,938,80,34966
Goshen College,41.563582,-85.827795,1,2,834,78,35940
Grace College and Theological Seminary,41.22595,-85.814228,1,2,1462,388,25044
Hanover College,38.715642,-85.460051,1,2,1044,,40250
J Michael Harrold Beauty Academy,39.470359,-87.383391,3,3,168,,13045
Holy Cross College,41.698996,-86.253822,1,2,452,,34050
PJ's College of Cosmetology-Clarksville,38.3121,-85.768914,3,3,178,,17216
Huntington University,40.898152,-85.497317,1,2,1075,283,28192
Purdue University Fort Wayne,41.117278,-85.108962,1,1,6868,618,8857
Indiana University-Purdue University-Indianapolis,39.772948,-86.172217,1,1,22091,9869,10044
University of Indianapolis,39.709571,-86.133969,1,2,4403,1495,33516
Indiana Institute of Technology,41.078365,-85.116479,1,2,1530,993,28840
University of Southern Indiana,37.962374,-87.677214,1,1,7319,2606,9509
Indiana State University,39.469073,-87.407846,1,1,9747,2352,9598
Indiana University-Kokomo,40.460062,-86.132048,1,1,3136,281,7827
Indiana University-South Bend,41.665324,-86.221991,1,1,4693,716,7827
Indiana University-Bloomington,39.16609,-86.526559,1,1,33903,11755,11333
Indiana University-Northwest,41.557324,-87.337249,1,1,3748,490,7827
Indiana University-Southeast,38.345191,-85.819985,1,1,4444,857,7827
Indiana University-East,39.868707,-84.881923,1,1,3534,434,7827
International Business College-Indianapolis,39.885628,-86.041648,2,3,402,,13960
Tricoci University of Beauty Culture-Lafayette,40.419818,-86.887007,3,3,144,,17407
Empire Beauty School-Indianapolis,39.666467,-86.100614,3,3,389,,19260
Lincoln College of Technology-Indianapolis,39.884503,-86.246276,2,3,1342,,33471
Manchester University,41.010549,-85.762643,1,2,1107,392,34436
Marian University,39.813233,-86.202643,1,2,3051,1405,36600
Martin University,39.798144,-86.103953,1,2,228,66,13200
Mid-America College of Funeral Service,38.31209,-85.744696,1,2,386,,16960
West Michigan College of Barbering and Beauty,42.259329,-85.590244,2,3,121,,16695
University of Notre Dame,41.703058,-86.238959,1,2,8988,4281,58843
Oakland City University,38.340891,-87.35144,1,2,716,366,25740
Ravenscroft Beauty College,41.121802,-85.046078,3,3,254,,16850
Rogers Academy of Hair Design,37.970675,-87.572366,3,3,161,,18550
Rose-Hulman Institute of Technology,39.483602,-87.326749,1,2,1996,26,50619
University of Saint Francis-Fort Wayne,41.087205,-85.177246,1,2,1934,793,33390
Saint Mary-of-the-Woods College,39.508546,-87.463791,1,2,848,375,30550
Saint Mary's College,41.707274,-86.256947,1,2,1445,156,48010
Saint Elizabeth School of Nursing,40.427401,-86.88083,2,2,189,,20064
Taylor University,40.456246,-85.497034,1,2,1835,37,36570
Trine University,41.632502,-85.008009,1,2,2321,203,34180
Valparaiso University,41.462239,-87.040172,1,2,2859,535,44796
Wabash College,40.037588,-86.906,1,2,915,,45850
Allen College,42.530084,-92.340148,1,2,412,331,19718
Briar Cliff University,42.526443,-96.428444,1,2,775,282,33998
Capri College-Dubuque,42.497357,-90.665565,2,3,209,,17780
Capri College-Cedar Rapids,41.960734,-91.710201,2,3,209,,17780
Central College,41.401539,-92.922199,1,2,1093,,19250
Clarke University,42.509475,-90.690487,1,2,680,245,36870
Coe College,41.988263,-91.658192,1,2,1404,,48822
Cornell College,41.924554,-91.423741,1,2,1025,10,47726
Dordt University,43.082527,-96.166562,1,2,1367,296,33590
Drake University,41.60129,-93.652163,1,2,2947,2396,45912
University of Dubuque,42.49726,-90.693428,1,2,1933,562,36010
Ellsworth Community College,42.527524,-93.265853,2,1,683,,5040
Emmaus Bible College,42.508307,-90.706011,1,2,193,,19550
Faith Baptist Bible College and Theological Seminary,41.737082,-93.624422,1,2,304,110,18180
Graceland University-Lamoni,40.615966,-93.924893,1,2,1002,666,31920
Grand View University,41.620813,-93.604352,1,2,1791,257,30954
Grinnell College,41.747952,-92.722094,1,2,1571,,58648
Orion Technical College,41.56056,-90.528333,1,3,198,,14475
Hawkeye Community College,42.430003,-92.330633,2,1,3318,,5977
Indian Hills Community College,41.045105,-92.394736,2,1,2670,,4560
Iowa Central Community College,42.490067,-94.20299,2,1,4605,,6000
Iowa School of Beauty-Des Moines,41.624684,-93.711628,2,3,153,,17640
Iowa State University,42.026212,-93.648504,1,1,27380,5558,9634
Iowa Wesleyan University,40.973791,-91.552459,1,2,714,69,33650
Iowa Western Community College,41.272168,-95.797975,2,1,4413,,6330
University of Iowa,41.661935,-91.536425,1,1,23235,9069,9942
Loras College,42.503908,-90.679023,1,2,1303,120,35268
Luther College,43.312304,-91.802809,1,2,1831,,46760
Maharishi International University,41.017781,-91.967306,1,2,721,2090,16530
Marshalltown Community College,42.00065,-92.909411,2,1,892,,5040
Mercy College of Health Sciences,41.594559,-93.626238,1,2,1158,,19754
Morningside University,42.473891,-96.359464,1,2,1221,1944,35270
Mount Mercy University,42.001931,-91.650991,1,2,1526,417,36540
North Iowa Area Community College,43.157169,-93.13126,2,1,1860,,5971
University of Northern Iowa,42.514923,-92.459703,1,1,8861,1769,9053
Northwestern College,42.999007,-96.058772,1,2,1102,771,33590
Northeast Iowa Community College,43.17523,-91.867105,2,1,2434,,6120
Northwest Iowa Community College,43.184701,-95.880639,2,1,967,,6540
PCI Academy-Ames,41.99767,-93.613611,2,3,190,,24988
Saint Ambrose University,41.54065,-90.579854,1,2,2416,753,33570
St Luke's College,42.520081,-96.404724,1,2,244,,20940
La James International College-Davenport,41.572861,-90.5682,2,3,115,,19286
Simpson College,41.365503,-93.563471,1,2,1350,72,44030
Southeastern Community College,40.814496,-91.171881,2,1,1950,,6090
Southwestern Community College,41.073437,-94.380906,2,1,929,,6060
Capri College-Davenport,41.575211,-90.538828,2,3,227,,17780
Waldorf University,43.262923,-93.641714,1,3,3809,818,23666
Wartburg College,42.7277,-92.483387,1,2,1539,18,47500
The Salon Professional Academy-Cedar Falls,42.511022,-92.433262,2,3,107,,16900
Western Iowa Tech Community College,42.482953,-96.348874,2,1,3408,,4802
William Penn University,41.310111,-92.647095,1,2,1340,84,27200
Allen County Community College,37.938038,-95.396377,2,1,1827,,3720
Baker University,38.778712,-95.187346,1,2,1465,1203,31600
Benedictine College,39.572646,-95.111473,1,2,2073,97,32630
Bethany College,38.580598,-97.67367,1,2,743,,31215
Bethel College-North Newton,38.075169,-97.343256,1,2,490,,31164
Central Christian College of Kansas,38.357978,-97.668597,1,2,622,,20225
Cloud County Community College,39.554199,-97.664147,2,1,1254,,3480
Coffeyville Community College,37.033814,-95.621374,2,1,1265,,3040
Colby Community College,39.377601,-101.052744,2,1,1540,,4013
Dodge City Community College,37.776891,-100.037481,2,1,1477,,4470
Donnelly College,39.112256,-94.650677,1,2,442,,8830
Emporia State University,38.414784,-96.179021,1,1,3307,3785,7001
Flint Hills Technical College,38.41888,-96.224141,2,1,433,,7032
Fort Hays State University,38.872156,-99.342503,1,1,14517,3767,5430
Barclay College,37.62012,-99.105351,1,2,174,70,23850
Friends University,37.678459,-97.367048,1,2,1442,1365,30864
Fort Scott Community College,37.816206,-94.715334,2,1,1333,,3510
Garden City Community College,37.970151,-100.848082,2,1,1837,,3450
Haskell Indian Nations University,38.938834,-95.232879,1,1,821,,480
Hays Academy of Hair Design,38.884873,-99.310623,3,3,114,,15100
Hesston College,38.134558,-97.433883,1,2,410,,29708
Highland Community College,39.859987,-95.271539,2,1,2180,,3570
Hutchinson Community College,38.068035,-97.92135,2,1,4595,,3540
Independence Community College,37.195614,-95.720518,2,1,721,,4440
Concorde Career College-Kansas City,39.06799,-94.589819,1,3,1027,,17366
Kansas Christian College,38.994848,-94.666878,1,2,215,,9080
Old Town Barber College-Wichita,37.68586,-97.323179,3,3,152,,15850
Kansas Wesleyan University,38.813795,-97.607973,1,2,790,81,31340
Washburn Institute of Technology,39.04497,-95.751158,3,1,1565,,8323
Labette Community College,37.339062,-95.255368,2,1,1955,,3488
Manhattan Area Technical College,39.197774,-96.615672,2,1,524,,7650
Manhattan Christian College,39.184806,-96.579383,1,2,223,,17605
McPherson College,38.371422,-97.642996,1,2,831,34,32408
MidAmerica Nazarene University,38.875615,-94.781635,1,2,1305,2226,33840
Neosho County Community College,37.670672,-95.464976,2,1,1198,,4000
North Central Kansas Technical College,39.482419,-98.110826,2,1,398,,7692
Northwest Kansas Technical College,39.346424,-101.70022,2,1,352,,17000
Ottawa University-Ottawa,38.603173,-95.264187,1,2,792,95,36780
Ottawa University-Kansas City,38.932055,-94.635461,1,2,371,376,12869
Pittsburg State University,37.392071,-94.702473,1,1,4943,2620,7744
Pratt Community College,37.654451,-98.714538,2,1,743,,3908
University of Saint Mary,39.279396,-94.906743,1,2,821,628,31630
Salina Area Technical College,38.793582,-97.636892,2,1,345,,7460
Seward County Community College,37.059807,-100.917695,2,1,1195,,3648
Southwestern College,37.248608,-96.975405,1,2,1734,231,34900
