STATEFP,State,ZCTA,n_allschools,dsug_allschools,gr_allschools,avgtf_allschools,n_public,dsug_public,gr_public,avgtf_public,n_private,dsug_private,gr_private,avgtf_private,n_4yr,dsug_4yr,gr_4yr,avgtf_4yr,n_not4yr,dsug_not4yr,gr_not4yr,avgtf_not4yr,n_public4yr,dsug_public4yr,gr_public4yr,avgtf_public4yr
42,PA,16630,9,7708,763,22174,3,4013,0,12746,6,3695,763,32414,3,5544,763,25103,6,2164,0,14670,1,2446,0,14352
42,PA,16631,5,1902,39,23186,1,289,0,16513,4,1613,39,24381,1,1253,39,24890,4,649,0,19895,No Campuses within 45 minutes,,,
42,PA,16635,10,8999,829,26320,3,4013,0,12746,7,4986,829,37246,4,6835,829,30009,6,2164,0,14670,1,2446,0,14352
42,PA,16636,6,3747,763,31220,1,289,0,16513,5,3458,763,32449,2,3098,763,33592,4,649,0,19895,No Campuses within 45 minutes,,,
42,PA,16637,6,3747,763,31220,1,289,0,16513,5,3458,763,32449,2,3098,763,33592,4,649,0,19895,No Campuses within 45 minutes,,,
42,PA,16638,4,1835,66,42105,1,289,0,16513,3,1546,66,46889,1,1291,66,51076,3,544,0,20816,No Campuses within 45 minutes,,,
42,PA,16639,6,3747,763,31220,1,289,0,16513,5,3458,763,32449,2,3098,763,33592,4,649,0,19895,No Campuses within 45 minutes,,,
42,PA,16640,6,3747,763,31220,1,289,0,16513,5,3458,763,32449,2,3098,763,33592,4,649,0,19895,No Campuses within 45 minutes,,,
42,PA,16641,9,7708,763,22174,3,4013,0,12746,6,3695,763,32414,3,5544,763,25103,6,2164,0,14670,1,2446,0,14352
42,PA,16645,1,289,0,16513,1,289,0,16513,No Campuses within 45 minutes,,,,No Campuses within 45 minutes,,,,1,289,0,16513,No Campuses within 45 minutes,,,
42,PA,16646,9,7708,763,22174,3,4013,0,12746,6,3695,763,32414,3,5544,763,25103,6,2164,0,14670,1,2446,0,14352
42,PA,16647,5,1940,66,40645,1,289,0,16513,4,1651,66,44869,1,1291,66,51076,4,649,0,19895,No Campuses within 45 minutes,,,
42,PA,16648,7,5038,829,36308,1,289,0,16513,6,4749,829,37513,3,4389,829,38735,4,649,0,19895,No Campuses within 45 minutes,,,
42,PA,16650,3,544,0,20816,1,289,0,16513,2,255,0,25692,No Campuses within 45 minutes,,,,3,544,0,20816,No Campuses within 45 minutes,,,
42,PA,16651,4,725,0,16701,1,289,0,16513,3,436,0,16825,No Campuses within 45 minutes,,,,4,725,0,16701,No Campuses within 45 minutes,,,
42,PA,16652,8,81799,18982,16495,3,79662,18916,15892,5,2137,66,38958,2,80456,18982,16455,6,1343,0,18921,1,79165,18916,15890
42,PA,16654,3,1546,66,46889,No Campuses within 45 minutes,,,,3,1546,66,46889,1,1291,66,51076,2,255,0,25692,No Campuses within 45 minutes,,,
42,PA,16655,10,7923,763,21780,3,4013,0,12746,7,3910,763,31053,3,5544,763,25103,7,2379,0,14037,1,2446,0,14352
42,PA,16656,4,649,0,19895,1,289,0,16513,3,360,0,22610,No Campuses within 45 minutes,,,,4,649,0,19895,No Campuses within 45 minutes,,,
42,PA,16657,6,3193,105,34462,1,289,0,16513,5,2904,105,36249,2,2544,105,38179,4,649,0,19895,No Campuses within 45 minutes,,,
42,PA,16659,3,544,0,20816,1,289,0,16513,2,255,0,25692,No Campuses within 45 minutes,,,,3,544,0,20816,No Campuses within 45 minutes,,,
42,PA,16662,7,5038,829,36308,1,289,0,16513,6,4749,829,37513,3,4389,829,38735,4,649,0,19895,No Campuses within 45 minutes,,,
