State,County,avg_bal,med_bal,avg_inc,med_inc,avg_dti,med_dti,avg_bal_label,med_bal_label,avg_inc_label,med_inc_label,avg_bal_rankNat,med_bal_rankNat,avg_inc_rankNat,med_inc_rankNat,avg_dti_rankNat,med_dti_rankNat,avg_bal_pctNat,med_bal_pctNat,avg_inc_pctNat,med_inc_pctNat,avg_dti_pctNat,med_dti_pctNat,avg_bal_rankState,med_bal_rankState,avg_inc_rankState,med_inc_rankState,avg_dti_rankState,med_dti_rankState,avg_bal_pctState,med_bal_pctState,avg_inc_pctState,med_inc_pctState,avg_dti_pctState,med_dti_pctState,pct_bal_grt,avg_bal_sh_obal,med_bal_sh_obal,pct_bal_grt_label,avg_bal_sh_obal_label,med_bal_sh_obal_label,pct_bal_grt_rankNat,avg_bal_sh_obal_rankNat,med_bal_sh_obal_rankNat,pct_bal_grt_pctNat,avg_bal_sh_obal_pctNat,med_bal_sh_obal_pctNat,pct_bal_grt_rankState,avg_bal_sh_obal_rankState,med_bal_sh_obal_rankState,pct_bal_grt_pctState,avg_bal_sh_obal_pctState,med_bal_sh_obal_pctState,avg_bal_ASIAN,med_bal_ASIAN,avg_inc_ASIAN,med_inc_ASIAN,avg_dti_ASIAN,med_dti_ASIAN,avg_bal_label_ASIAN,med_bal_label_ASIAN,avg_inc_label_ASIAN,med_inc_label_ASIAN,avg_bal_rankNat_ASIAN,med_bal_rankNat_ASIAN,avg_inc_rankNat_ASIAN,med_inc_rankNat_ASIAN,avg_dti_rankNat_ASIAN,med_dti_rankNat_ASIAN,avg_bal_pctNat_ASIAN,med_bal_pctNat_ASIAN,avg_inc_pctNat_ASIAN,med_inc_pctNat_ASIAN,avg_dti_pctNat_ASIAN,med_dti_pctNat_ASIAN,avg_bal_rankState_ASIAN,med_bal_rankState_ASIAN,avg_inc_rankState_ASIAN,med_inc_rankState_ASIAN,avg_dti_rankState_ASIAN,med_dti_rankState_ASIAN,avg_bal_pctState_ASIAN,med_bal_pctState_ASIAN,avg_inc_pctState_ASIAN,med_inc_pctState_ASIAN,avg_dti_pctState_ASIAN,med_dti_pctState_ASIAN,pct_bal_grt_ASIAN,avg_bal_sh_obal_ASIAN,med_bal_sh_obal_ASIAN,pct_bal_grt_label_ASIAN,avg_bal_sh_obal_label_ASIAN,med_bal_sh_obal_label_ASIAN,pct_bal_grt_rankNat_ASIAN,avg_bal_sh_obal_rankNat_ASIAN,med_bal_sh_obal_rankNat_ASIAN,pct_bal_grt_pctNat_ASIAN,avg_bal_sh_obal_pctNat_ASIAN,med_bal_sh_obal_pctNat_ASIAN,pct_bal_grt_rankState_ASIAN,avg_bal_sh_obal_rankState_ASIAN,med_bal_sh_obal_rankState_ASIAN,pct_bal_grt_pctState_ASIAN,avg_bal_sh_obal_pctState_ASIAN,med_bal_sh_obal_pctState_ASIAN,avg_bal_BLACK,med_bal_BLACK,avg_inc_BLACK,med_inc_BLACK,avg_dti_BLACK,med_dti_BLACK,avg_bal_label_BLACK,med_bal_label_BLACK,avg_inc_label_BLACK,med_inc_label_BLACK,avg_bal_rankNat_BLACK,med_bal_rankNat_BLACK,avg_inc_rankNat_BLACK,med_inc_rankNat_BLACK,avg_dti_rankNat_BLACK,med_dti_rankNat_BLACK,avg_bal_pctNat_BLACK,med_bal_pctNat_BLACK,avg_inc_pctNat_BLACK,med_inc_pctNat_BLACK,avg_dti_pctNat_BLACK,med_dti_pctNat_BLACK,avg_bal_rankState_BLACK,med_bal_rankState_BLACK,avg_inc_rankState_BLACK,med_inc_rankState_BLACK,avg_dti_rankState_BLACK,med_dti_rankState_BLACK,avg_bal_pctState_BLACK,med_bal_pctState_BLACK,avg_inc_pctState_BLACK,med_inc_pctState_BLACK,avg_dti_pctState_BLACK,med_dti_pctState_BLACK,pct_bal_grt_BLACK,avg_bal_sh_obal_BLACK,med_bal_sh_obal_BLACK,pct_bal_grt_label_BLACK,avg_bal_sh_obal_label_BLACK,med_bal_sh_obal_label_BLACK,pct_bal_grt_rankNat_BLACK,avg_bal_sh_obal_rankNat_BLACK,med_bal_sh_obal_rankNat_BLACK,pct_bal_grt_pctNat_BLACK,avg_bal_sh_obal_pctNat_BLACK,med_bal_sh_obal_pctNat_BLACK,pct_bal_grt_rankState_BLACK,avg_bal_sh_obal_rankState_BLACK,med_bal_sh_obal_rankState_BLACK,pct_bal_grt_pctState_BLACK,avg_bal_sh_obal_pctState_BLACK,med_bal_sh_obal_pctState_BLACK,avg_bal_LATINO,med_bal_LATINO,avg_inc_LATINO,med_inc_LATINO,avg_dti_LATINO,med_dti_LATINO,avg_bal_label_LATINO,med_bal_label_LATINO,avg_inc_label_LATINO,med_inc_label_LATINO,avg_bal_rankNat_LATINO,med_bal_rankNat_LATINO,avg_inc_rankNat_LATINO,med_inc_rankNat_LATINO,avg_dti_rankNat_LATINO,med_dti_rankNat_LATINO,avg_bal_pctNat_LATINO,med_bal_pctNat_LATINO,avg_inc_pctNat_LATINO,med_inc_pctNat_LATINO,avg_dti_pctNat_LATINO,med_dti_pctNat_LATINO,avg_bal_rankState_LATINO,med_bal_rankState_LATINO,avg_inc_rankState_LATINO,med_inc_rankState_LATINO,avg_dti_rankState_LATINO,med_dti_rankState_LATINO,avg_bal_pctState_LATINO,med_bal_pctState_LATINO,avg_inc_pctState_LATINO,med_inc_pctState_LATINO,avg_dti_pctState_LATINO,med_dti_pctState_LATINO,pct_bal_grt_LATINO,avg_bal_sh_obal_LATINO,med_bal_sh_obal_LATINO,pct_bal_grt_label_LATINO,avg_bal_sh_obal_label_LATINO,med_bal_sh_obal_label_LATINO,pct_bal_grt_rankNat_LATINO,avg_bal_sh_obal_rankNat_LATINO,med_bal_sh_obal_rankNat_LATINO,pct_bal_grt_pctNat_LATINO,avg_bal_sh_obal_pctNat_LATINO,med_bal_sh_obal_pctNat_LATINO,pct_bal_grt_rankState_LATINO,avg_bal_sh_obal_rankState_LATINO,med_bal_sh_obal_rankState_LATINO,pct_bal_grt_pctState_LATINO,avg_bal_sh_obal_pctState_LATINO,med_bal_sh_obal_pctState_LATINO,avg_bal_NATVAM,med_bal_NATVAM,avg_inc_NATVAM,med_inc_NATVAM,avg_dti_NATVAM,med_dti_NATVAM,avg_bal_label_NATVAM,med_bal_label_NATVAM,avg_inc_label_NATVAM,med_inc_label_NATVAM,avg_bal_rankNat_NATVAM,med_bal_rankNat_NATVAM,avg_inc_rankNat_NATVAM,med_inc_rankNat_NATVAM,avg_dti_rankNat_NATVAM,med_dti_rankNat_NATVAM,avg_bal_pctNat_NATVAM,med_bal_pctNat_NATVAM,avg_inc_pctNat_NATVAM,med_inc_pctNat_NATVAM,avg_dti_pctNat_NATVAM,med_dti_pctNat_NATVAM,avg_bal_rankState_NATVAM,med_bal_rankState_NATVAM,avg_inc_rankState_NATVAM,med_inc_rankState_NATVAM,avg_dti_rankState_NATVAM,med_dti_rankState_NATVAM,avg_bal_pctState_NATVAM,med_bal_pctState_NATVAM,avg_inc_pctState_NATVAM,med_inc_pctState_NATVAM,avg_dti_pctState_NATVAM,med_dti_pctState_NATVAM,pct_bal_grt_NATVAM,avg_bal_sh_obal_NATVAM,med_bal_sh_obal_NATVAM,pct_bal_grt_label_NATVAM,avg_bal_sh_obal_label_NATVAM,med_bal_sh_obal_label_NATVAM,pct_bal_grt_rankNat_NATVAM,avg_bal_sh_obal_rankNat_NATVAM,med_bal_sh_obal_rankNat_NATVAM,pct_bal_grt_pctNat_NATVAM,avg_bal_sh_obal_pctNat_NATVAM,med_bal_sh_obal_pctNat_NATVAM,pct_bal_grt_rankState_NATVAM,avg_bal_sh_obal_rankState_NATVAM,med_bal_sh_obal_rankState_NATVAM,pct_bal_grt_pctState_NATVAM,avg_bal_sh_obal_pctState_NATVAM,med_bal_sh_obal_pctState_NATVAM,avg_bal_WHITE,med_bal_WHITE,avg_inc_WHITE,med_inc_WHITE,avg_dti_WHITE,med_dti_WHITE,avg_bal_label_WHITE,med_bal_label_WHITE,avg_inc_label_WHITE,med_inc_label_WHITE,avg_bal_rankNat_WHITE,med_bal_rankNat_WHITE,avg_inc_rankNat_WHITE,med_inc_rankNat_WHITE,avg_dti_rankNat_WHITE,med_dti_rankNat_WHITE,avg_bal_pctNat_WHITE,med_bal_pctNat_WHITE,avg_inc_pctNat_WHITE,med_inc_pctNat_WHITE,avg_dti_pctNat_WHITE,med_dti_pctNat_WHITE,avg_bal_rankState_WHITE,med_bal_rankState_WHITE,avg_inc_rankState_WHITE,med_inc_rankState_WHITE,avg_dti_rankState_WHITE,med_dti_rankState_WHITE,avg_bal_pctState_WHITE,med_bal_pctState_WHITE,avg_inc_pctState_WHITE,med_inc_pctState_WHITE,avg_dti_pctState_WHITE,med_dti_pctState_WHITE,pct_bal_grt_WHITE,avg_bal_sh_obal_WHITE,med_bal_sh_obal_WHITE,pct_bal_grt_label_WHITE,avg_bal_sh_obal_label_WHITE,med_bal_sh_obal_label_WHITE,pct_bal_grt_rankNat_WHITE,avg_bal_sh_obal_rankNat_WHITE,med_bal_sh_obal_rankNat_WHITE,pct_bal_grt_pctNat_WHITE,avg_bal_sh_obal_pctNat_WHITE,med_bal_sh_obal_pctNat_WHITE,pct_bal_grt_rankState_WHITE,avg_bal_sh_obal_rankState_WHITE,med_bal_sh_obal_rankState_WHITE,pct_bal_grt_pctState_WHITE,avg_bal_sh_obal_pctState_WHITE,med_bal_sh_obal_pctState_WHITE
NJ,34029,37733.7824790728,22293.67,38403.564674552,37901,1.00950157824798,0.580059549908665,"$37,734","$22,294","$38,404","$37,901",211,245,262,276,1050,1073,92nd,91st,90th,89th,61st,60th,13,8,16,14,7,6,42nd,66th,28th,38th,71st,76th,0.488760964912281,0.976469249190027,1.0013,48.84%,97.68%,100.10%,2132,2047,2132,25th,28th,25th,14,12,14,38th,47th,38th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37733.7824790728,22293.67,38403.564674552,37901,1.00950157824798,0.580059549908665,"$37,734","$22,294","$38,404","$37,901",254,269,323,338,866,893,90th,89th,87th,86th,66th,65th,17,9,17,18,7,5,23rd,61st,23rd,19th,71st,80th,0.488760964912281,0.976469249190027,1.0013,48.84%,97.68%,100.1%,1947,1851,1943,27th,31st,28th,9,8,8,61st,66th,69th
NJ,34031,32266.0595293399,16560.985,37051.9178621967,32675,0.91133271566338,0.490826326700303,"$32,266","$16,561","$37,052","$32,675",633,1170,313,705,1441,1700,76th,57th,88th,74th,47th,37th,20,20,18,19,16,13,9th,9th,19th,14th,28th,42nd,0.540526104953932,1.16316135338346,1.013,54.01%,116.27%,101.31%,1706,80,1808,40th,97th,36th,6,1,7,76th,100th,71st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19738.806,14715.68,25695.1338923148,23516,0.804700140024044,0.616012055974166,"$19,739","$14,716","$25,695","$23,516",466,358,143,211,499,380,16th,35th,74th,62nd,10th,31st,12,12,10,12,14,9,21st,21st,35th,21st,7th,42nd,0.684824902723736,1.03867315175097,1.0375,68.53%,103.84%,103.73%,417,491,494,28th,16th,15th,6,12,12,64th,21st,21st,25087.3760816327,12894.25,26311.5280246518,25502,0.957463420209388,0.527905699438084,"$25,087","$12,894","$26,312","$25,502",183,224,172,200,235,259,59th,49th,61st,55th,47th,42nd,9,11,10,11,12,12,42nd,28th,35th,28th,21st,21st,0.60543580131209,1.0299351532567,1.026,60.50%,102.96%,102.63%,271,295,318,44th,39th,34th,8,9,9,50th,42nd,42nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39551.4707894737,21345.705,47377.7282553042,49018.4607963454,0.879066028552424,0.452148855427385,"$39,551","$21,346","$47,378","$49,018",185,364,77,57,1372,1752,92nd,85th,97th,97th,46th,31st,10,16,10,9,13,15,57th,28th,57th,61st,42nd,33rd,0.479781691887869,1.27759281711666,1,47.96%,127.71%,99.99%,2016,7,2140,25th,99th,20th,10,1,15,57th,100th,33rd
NJ,34033,36261.4640935673,19649.88,34943.4912086315,33170.9917961596,1.0383347810539,0.602771201647037,"$36,261","$19,650","$34,943","$33,171",291,558,454,651,946,928,89th,79th,83rd,76th,65th,66th,15,16,19,18,5,3,33rd,28th,14th,19th,80th,90th,0.51747311827957,0.993136326530612,1.0049,51.70%,99.33%,100.54%,1893,1800,2032,33rd,37th,28th,8,9,11,66th,61st,52nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16671.5630769231,15965.94,19512.471185284,20022,0.886378399781946,0.960091461183874,"$16,672","$15,966","$19,512","$20,022",504,319,414,380,468,122,9th,42nd,25th,31st,16th,78th,14,9,14,13,11,1,7th,42nd,7th,14th,28th,100th,0.636363636363636,1.08832727272727,1.0221,63.69%,108.79%,102.19%,492,381,537,15th,34th,8th,10,6,13,35th,64th,14th,13753.288,10586.65,18919.2875480414,18919.2875480414,0.726945344272428,0.559569168401163,"$13,753","$10,587","$18,919","$18,919",409,321,353,347,365,224,8th,28th,20th,22nd,18th,49th,14,14,14,14,14,8,7th,7th,7th,7th,7th,50th,0.5,0.992375,1.01,50.05%,99.22%,100.98%,404,385,390,16th,20th,19th,12,13,12,21st,14th,21st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38661.5267973856,21748.3,36778.2904152098,33437.3347118384,1.06142223295222,0.593820954195301,"$38,662","$21,748","$36,778","$33,437",215,328,398,703,698,812,91st,87th,84th,72nd,72nd,68th,12,14,19,20,3,3,47th,38th,14th,9th,90th,90th,0.510233918128655,0.986949333333333,1.0033,51.04%,98.67%,100.32%,1757,1700,1886,34th,37th,30th,5,4,6,80th,85th,76th
NJ,34035,38336.1648099763,21958.425,53251.701629715,53841.1797319035,0.768508354913726,0.411157286887017,"$38,336","$21,958","$53,252","$53,841",191,281,15,13,2059,2229,93rd,89th,99th,99th,24th,18th,10,11,2,3,19,20,57th,52nd,95th,90th,14th,9th,0.436084353033064,0.940863224588838,1,43.56%,94.05%,99.99%,2425,2404,2317,15th,15th,19th,18,19,18,19th,14th,21st,46067.699122807,31688.33,62787.4187967712,55816.7682733335,0.783295781455649,0.476510731174973,"$46,068","$31,688","$62,787","$55,817",15,6,8,14,55,42,80th,93rd,90th,81st,25th,43rd,5,2,2,2,6,5,42nd,85th,85th,85th,28th,42nd,0.457142857142857,0.953337735849057,1,45.76%,95.37%,99.99%,64,67,62,18th,14th,20th,6,6,6,28th,28th,35th,40713.9175,24937.475,48971.0859521996,54266.5139324433,0.841892626554784,0.4610432349671,"$40,714","$24,937","$48,971","$54,267",43,56,4,3,487,504,92nd,90th,99th,99th,12th,9th,1,1,1,1,12,13,100th,100th,100th,100th,21st,14th,0.494456762749446,0.989234246575342,1.002,49.50%,98.89%,100.21%,564,555,566,3rd,5th,3rd,14,14,14,7th,7th,7th,33717.8320253165,19387.22,31008.3864579918,31637.9347165381,1.10941412664718,0.578450855125953,"$33,718","$19,387","$31,008","$31,638",60,57,67,61,173,207,86th,87th,85th,86th,61st,53rd,5,4,4,2,5,6,71st,78th,78th,92nd,71st,64th,0.59504132231405,1.02957507002801,1.0216,59.51%,102.96%,102.19%,286,297,341,40th,38th,29th,9,10,11,42nd,35th,28th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37911.1338498403,21492.32,55737.5407259533,55734.8325331116,0.714762059368811,0.392946174029826,"$37,911","$21,492","$55,738","$55,735",238,347,19,18,2045,2113,90th,86th,99th,99th,19th,17th,14,15,3,3,20,19,38th,33rd,90th,90th,9th,14th,0.403349108117947,0.919661872404681,1,40.37%,91.96%,99.99%,2381,2347,2140,11th,13th,20th,20,20,15,9th,9th,33rd
NJ,34037,32467.45476,19461.715,44965.3784277994,45584.9794070974,0.745628283437406,0.46623254002998,"$32,467","$19,462","$44,965","$45,585",611,597,76,59,2135,1865,77th,78th,97th,97th,22nd,31st,19,18,9,6,20,18,14th,19th,61st,76th,9th,19th,0.443392165303487,0.966643860424028,1,44.33%,96.69%,99.99%,2402,2161,2317,16th,24th,19th,17,16,18,23rd,28th,21st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32467.45476,19461.715,44965.3784277994,45584.9794070974,0.745628283437406,0.46623254002998,"$32,467","$19,462","$44,965","$45,585",622,618,105,95,1928,1668,75th,75th,95th,96th,24th,34th,20,19,12,11,18,14,9th,14th,47th,52nd,19th,38th,0.443392165303487,0.966643860424028,1,44.33%,96.69%,99.99%,2235,1971,2140,17th,27th,20th,17,12,15,23rd,47th,33rd
NJ,34039,37919.7485775598,22091.19,42698.1888530246,38158.4704776511,0.949778084216695,0.525847782147516,"$37,920","$22,091","$42,698","$38,158",199,265,114,263,1277,1427,92nd,90th,95th,90th,53rd,47th,11,9,11,12,12,9,52nd,61st,52nd,47th,47th,61st,0.554681552905354,1.01349090199141,1.019,55.44%,101.31%,101.86%,1572,1467,1578,45th,48th,44th,3,4,3,90th,85th,90th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39291.5761375661,24904.52,33526.0392639286,33107.74935063,1.19219324176654,0.732122345864956,"$39,292","$24,905","$33,526","$33,108",51,57,39,45,291,272,91st,89th,93rd,92nd,47th,51st,2,2,5,3,3,4,92nd,92nd,71st,85th,85th,78th,0.624543080939948,1.05154964997307,1.05,62.48%,105.16%,105.05%,500,474,463,14th,19th,20th,12,11,10,21st,28th,35th,27365.2222004357,15470.23,29189.9222366629,27798,0.971428078740564,0.556586674203479,"$27,365","$15,470","$29,190","$27,798",137,122,107,127,225,231,69th,72nd,76th,71st,49th,48th,8,9,7,9,10,9,50th,42nd,57th,42nd,35th,42nd,0.618567103935419,1.05375094823168,1.04,61.82%,105.38%,103.95%,253,205,251,47th,57th,48th,6,5,6,64th,71st,64th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43368.0820654912,23880.62,54873.7139431861,52029.3911257121,0.821855820941764,0.438276744200444,"$43,368","$23,881","$54,874","$52,029",106,163,23,30,1627,1855,95th,93rd,99th,98th,36th,27th,4,6,5,6,16,17,85th,76th,80th,76th,28th,23rd,0.489335006273526,0.974981883870968,1.0013,48.95%,97.46%,100.10%,1942,1870,1943,28th,30th,28th,7,9,8,71st,61st,69th
NJ,34041,39140.6839221557,25818.58,42779.3969447172,43693.9674731414,0.953386186932294,0.581002141803207,"$39,141","$25,819","$42,779","$43,694",169,82,111,93,1257,1070,93rd,97th,95th,96th,54th,60th,9,1,10,8,10,5,61st,100th,57th,66th,57th,80th,0.433232628398792,0.960573820012586,1,43.34%,96.03%,99.99%,2440,2220,2317,14th,22nd,19th,19,18,18,14th,19th,21st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39140.6839221557,25818.58,42779.3969447172,43693.9674731414,0.953386186932294,0.581002141803207,"$39,141","$25,819","$42,779","$43,694",202,94,159,127,1081,889,92nd,96th,93rd,95th,57th,65th,11,3,14,14,8,4,52nd,90th,38th,38th,66th,85th,0.433232628398792,0.960573820012586,1,43.34%,96.03%,99.99%,2273,2037,2140,15th,24th,20th,18,15,15,19th,33rd,33rd
NM,35001,31952.9247985568,16122.58,31911.8972937392,31545.7195040585,1.05280598094927,0.536762941293138,"$31,953","$16,123","$31,912","$31,546",665,1254,828,878,897,1351,75th,54th,69th,67th,67th,50th,3,5,6,5,12,11,92nd,84th,80th,84th,57th,61st,0.615838371921545,1.05591392233594,1.0479,61.60%,105.60%,104.83%,984,785,857,65th,72nd,70th,16,13,12,46th,57th,60th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29279.5909307359,14681.29,28718.3369707561,26608,1.06543176784275,0.561063299091191,"$29,280","$14,681","$28,718","$26,608",99,146,115,159,184,221,77th,67th,74th,64th,58th,50th,3,7,4,5,9,10,90th,71st,85th,80th,61st,57th,0.63132733408324,1.06454393245564,1.0516,63.14%,106.48%,105.16%,233,169,187,51st,65th,61st,10,8,10,59th,68th,59th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.428571428571429,0.980671428571429,1,42.90%,98.12%,99.99%,38,33,38,15th,27th,15th,6,6,6,28th,28th,28th,35414.1023913044,18013.74,35956.6247805839,35249,1.04015862583593,0.50834392108501,"$35,414","$18,014","$35,957","$35,249",384,873,455,524,763,1366,84th,65th,82nd,79th,70th,46th,5,7,5,8,6,6,78th,68th,78th,63rd,73rd,73rd,0.599129894344313,1.04648771874006,1.045,59.95%,104.61%,104.50%,959,749,730,64th,72nd,73rd,13,9,11,45th,63rd,54th
NM,35005,21554.5591891892,12848.875,24503.9756844169,24007,0.886443419938009,0.513534615405602,"$21,555","$12,849","$24,504","$24,007",2038,1953,2104,2134,1544,1506,25th,28th,23rd,22nd,43rd,44th,18,14,13,11,14,13,34th,50th,53rd,61st,50th,53rd,0.58364312267658,1.03351428571429,1.0284,58.41%,103.40%,102.85%,1279,1134,1296,55th,60th,54th,21,19,21,28th,35th,28th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19115.8396875,12878.485,23073.0974131937,24007,0.864815458762212,0.54456390952987,"$19,116","$12,878","$23,073","$24,007",317,225,260,238,283,242,28th,49th,41st,46th,36th,45th,15,13,9,8,15,11,33rd,42nd,61st,66th,33rd,52nd,0.59051724137931,1.03332222222222,1.0374,59.07%,103.29%,103.73%,296,289,260,38th,40th,46th,15,13,15,36th,45th,36th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37162.364,12364.625,33661.5966202451,34167.9285242062,1.02486237146311,0.362960940982195,"$37,162","$12,365","$33,662","$34,168",279,1980,656,626,809,2248,89th,22nd,74th,75th,68th,11th,4,12,10,9,7,15,84th,42nd,52nd,57th,68th,26th,0.540540540540541,1.03478529411765,1.0164,54.01%,103.51%,101.64%,1513,935,1483,44th,65th,45th,18,12,18,22nd,50th,22nd
NM,35006,16035.8717857143,12261.95,21112.8916870647,19515.2034251209,0.780327551319612,0.592614960359249,"$16,036","$12,262","$21,113","$19,515",2555,2068,2504,2564,1997,996,6th,24th,8th,6th,27th,63rd,26,17,21,21,17,9,3rd,38th,23rd,23rd,38th,69th,0.675,1.08736890756303,1.0467,67.54%,108.79%,104.72%,555,420,877,80th,85th,69th,10,8,13,67th,75th,57th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18241.4247619048,18263.03,21616.3693008709,19393.008143391,0.879232303784812,0.682936521568186,"$18,241","$18,263","$21,616","$19,393",335,70,302,338,277,130,24th,84th,32nd,24th,37th,71st,17,1,14,17,14,6,23rd,100th,38th,23rd,38th,76th,0.693069306930693,1.127085,1.0663,69.30%,112.75%,106.59%,138,49,115,71st,90th,76th,5,4,5,81st,86th,81st,9419.21285714286,7327.75,19602.458845646,19515.2034251209,0.483613293924011,0.375489296235948,"$9,419","$7,328","$19,602","$19,515",24,21,20,19,23,19,8th,20th,24th,28th,12th,28th,4,4,3,3,4,4,25th,25th,50th,50th,25th,25th,0.578947368421053,0.878336842105263,1.0219,57.86%,87.78%,102.19%,30,39,34,34th,13th,25th,5,7,5,42nd,14th,42nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,35007,18460.681875,8800.56,22595.1881518434,23279.8729367348,0.846984863760467,0.391469920165219,"$18,461","$8,801","$22,595","$23,280",2377,2557,2369,2234,1726,2319,13th,6th,13th,18th,36th,15th,21,25,19,17,16,23,23rd,7th,30th,38th,42nd,15th,0.365384615384615,0.828604081632653,0.7569,36.52%,82.83%,75.68%,2644,2756,2811,7th,3rd,1st,28,28,28,3rd,3rd,3rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19957.3553846154,10778.63,22187.2451084342,21250.7069698909,0.929013097646053,0.490860497007625,"$19,957","$10,779","$22,187","$21,251",302,311,288,304,250,292,32nd,30th,35th,31st,44th,34th,13,17,12,12,12,15,42nd,23rd,47th,47th,47th,33rd,0.292682926829268,0.786571052631579,0.6668,29.26%,78.65%,66.66%,461,475,481,4th,1st,1st,22,22,22,4th,4th,4th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.636363636363636,0.973809090909091,1.1234,63.69%,97.35%,112.31%,644,1885,59,76th,30th,97th,10,20,3,59th,13th,90th
NM,35009,22894.6213684211,14505.55,28022.2885101288,28950.7598428842,0.850062848625545,0.531229234861693,"$22,895","$14,506","$28,022","$28,951",1867,1603,1512,1347,1711,1389,31st,41st,44th,50th,37th,49th,14,9,8,7,15,12,50th,69th,73rd,76th,46th,57th,0.59214501510574,1.01067360248447,1.022,59.18%,101.09%,102.19%,1211,1513,1496,57th,47th,47th,19,23,23,35th,21st,21st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21279.4007692308,14505.55,21861.976248623,20871.1245749614,1.01631986726814,0.655740899386842,"$21,279","$14,506","$21,862","$20,871",275,153,295,312,204,147,38th,65th,33rd,30th,54th,67th,12,8,13,13,10,7,47th,66th,42nd,42nd,57th,71st,0.611510791366906,1.00524388489209,1.0322,61.16%,100.54%,103.18%,263,368,289,45th,24th,40th,13,19,19,45th,18th,18th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24019.5071428571,14704.215,32312.5059779632,31287.9002220529,0.734276710642305,0.468776494961009,"$24,020","$14,704","$32,313","$31,288",1663,1547,839,1009,1969,1644,34th,39th,67th,60th,22nd,35th,13,9,11,11,14,9,36th,57th,47th,47th,31st,57th,0.578125,1.01479781420765,1.02,57.86%,101.53%,101.97%,1139,1264,1368,57th,53rd,49th,17,17,17,27th,27th,27th
